_1,_2,arlington_at_chicago_weed_street_otb,january
2011,110042,DEPT OF AGRICULTURE - DUQUOIN STATE FAIR,AUGUST 
2011,400590,DPT AGRICULTURE - SPRINGFIELD STATE FAIR,AUGUST 
2011,381220,FAIRMOUNT AT ALTON - OTB,AUGUST 
2011,757339,FAIRMOUNT AT SAUGET - OTB,AUGUST 
2011,433364,FAIRMOUNT AT SPRINGFIELD - OTB,AUGUST 
2011,1322264,"FAIRMOUNT PARK, INC.",AUGUST 
2011,2115525,"FAIRMOUNT PARK, INC. - IT.",AUGUST 
2011,537750,HAWTHORNE AT AURORA - OTB,AUGUST 
2011,590522,HAWTHORNE AT BUFFALO GROVE - OTB,AUGUST 
2011,2120947,"HAWTHORNE AT CHICAGO, CORLISS - OTB",AUGUST 
2011,973629,HAWTHORNE AT JOLIET - OTB,AUGUST 
2011,1004939,HAWTHORNE AT MOKENA - OTB,AUGUST 
2011,227055,HAWTHORNE AT YORKVILLE - OTB,AUGUST 
2011,3069956,"HAWTHORNE RACE COURSE, INC. - IT.",AUGUST 
2011,606682,MAYWOOD AT ELK GROVE VILLAGE - OTB,AUGUST 
2011,1982718,MAYWOOD AT NILES - OTB,AUGUST 
2011,449755,MAYWOOD AT NORTH AURORA - OTB,AUGUST 
2011,2016867,MAYWOOD AT OAKBROOK - OTB,AUGUST 
2011,2821378,MAYWOOD PARK TROTTING ASSOCIATION -IT.,AUGUST 
2011,725690,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",AUGUST 
2011,511166,QUAD CITY AT LOCKPORT - OTB,AUGUST 
2011,685079,QUAD CITY AT MCHENRY - OTB,AUGUST 
2011,821313,QUAD CITY AT ROCKFORD - OTB,AUGUST 
2011,420233,QUAD CITY AT SOUTH BELOIT - OTB,AUGUST 
2011,676929,QUAD CITY AT SOUTH ELGIN - OTB,AUGUST 
2011,715990,"QUAD CITY DOWNS, INC. - IT.",AUGUST 
2011,1635284,YOUBET ADW,AUGUST 
2011,3903281,TWIN SPIRES ADW,AUGUST 
2011,3155210,TVG ADW,AUGUST 
2011,21887,BETZOTIC ADW,AUGUST 
2011,868594,XPRESSBET ADW,AUGUST 
2011,3212251,"ARLINGTON AT CHICAGO, WEED STREET -OTB",SEPTEMBER 
2011,1218062,ARLINGTON AT HODGKINS - OTB,SEPTEMBER 
2011,1001558,ARLINGTON AT VILLA PARK,SEPTEMBER 
2011,1502984,ARLINGTON AT WAUKEGAN - OTB,SEPTEMBER 
2011,331601,ARLINGTON AT WAUKEGAN SUNDANCE SALOON-OTB,SEPTEMBER 
2011,1087262,ARLINGTON PARK RACECOURSE - IT.,SEPTEMBER 
2011,9654025,"ARLINGTON PARK RACECOURSE, LLC.",SEPTEMBER 
2011,297464,BALMORAL AT CHAMPAIGN - OTB,SEPTEMBER 
2011,2098851,BALMORAL AT CRESTWOOD - OTB,SEPTEMBER 
2011,312280,BALMORAL AT NORMAL - OTB,SEPTEMBER 
2011,1020621,"BALMORAL RACING CLUB, INC.",SEPTEMBER 
2011,607753,"BALMORAL RACING CLUB, INC. - IT.",SEPTEMBER 
2011,370157,FAIRMOUNT AT ALTON - OTB,SEPTEMBER 
2011,776508,FAIRMOUNT AT SAUGET - OTB,SEPTEMBER 
2011,379088,FAIRMOUNT AT SPRINGFIELD - OTB,SEPTEMBER 
2011,404594,"FAIRMOUNT PARK, INC.",SEPTEMBER 
2011,1911247,"FAIRMOUNT PARK, INC. - IT.",SEPTEMBER 
2011,484712,HAWTHORNE AT AURORA - OTB,SEPTEMBER 
2011,392321,HAWTHORNE AT BUFFALO GROVE - OTB,SEPTEMBER 
2011,1997146,"HAWTHORNE AT CHICAGO, CORLISS - OTB",SEPTEMBER 
2011,895330,HAWTHORNE AT JOLIET - OTB,SEPTEMBER 
2011,968441,HAWTHORNE AT MOKENA - OTB,SEPTEMBER 
2011,170598,HAWTHORNE AT YORKVILLE - OTB,SEPTEMBER 
2011,2954113,"HAWTHORNE RACE COURSE, INC. - IT.",SEPTEMBER 
2011,524338,MAYWOOD AT ELK GROVE VILLAGE - OTB,SEPTEMBER 
2011,1931352,MAYWOOD AT NILES - OTB,SEPTEMBER 
2011,490963,MAYWOOD AT NORTH AURORA - OTB,SEPTEMBER 
2011,1727129,MAYWOOD AT OAKBROOK - OTB,SEPTEMBER 
2011,2396502,MAYWOOD PARK TROTTING ASSOCIATION -IT.,SEPTEMBER 
2011,912676,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",SEPTEMBER 
2011,402964,QUAD CITY AT LOCKPORT - OTB,SEPTEMBER 
2011,699658,QUAD CITY AT MCHENRY - OTB,SEPTEMBER 
2011,757959,QUAD CITY AT ROCKFORD - OTB,SEPTEMBER 
2011,373371,QUAD CITY AT SOUTH BELOIT - OTB,SEPTEMBER 
2011,600945,QUAD CITY AT SOUTH ELGIN - OTB,SEPTEMBER 
2011,679036,"QUAD CITY DOWNS, INC. - IT.",SEPTEMBER 
2011,1544050,YOUBET ADW,SEPTEMBER 
2011,3189367,TWIN SPIRES ADW,SEPTEMBER 
2011,2632487,TVG ADW,SEPTEMBER 
2011,80468,BETZOTIC ADW,SEPTEMBER 
2011,710521,XPRESSBET ADW,SEPTEMBER 
2011,3067332,"ARLINGTON AT CHICAGO, WEED STREET -OTB",OCTOBER 
2011,1470874,ARLINGTON AT HODGKINS - OTB,OCTOBER 
2011,934657,ARLINGTON AT VILLA PARK,OCTOBER 
2011,1887978,ARLINGTON AT WAUKEGAN - OTB,OCTOBER 
2011,4584836,ARLINGTON PARK RACECOURSE - IT.,OCTOBER 
2011,376481,BALMORAL AT CHAMPAIGN - OTB,OCTOBER 
2011,2113779,BALMORAL AT CRESTWOOD - OTB,OCTOBER 
2011,319891,BALMORAL AT NORMAL - OTB,OCTOBER 
2011,989047,"BALMORAL RACING CLUB, INC.",OCTOBER 
2011,706063,"BALMORAL RACING CLUB, INC. - IT.",OCTOBER 
2011,376173,FAIRMOUNT AT ALTON - OTB,OCTOBER 
2011,776875,FAIRMOUNT AT SAUGET - OTB,OCTOBER 
2011,356934,FAIRMOUNT AT SPRINGFIELD - OTB,OCTOBER 
2011,2106268,"FAIRMOUNT PARK, INC. - IT.",OCTOBER 
2011,546278,HAWTHORNE AT AURORA - OTB,OCTOBER 
2011,350073,HAWTHORNE AT BUFFALO GROVE - OTB,OCTOBER 
2011,1982198,"HAWTHORNE AT CHICAGO, CORLISS - OTB",OCTOBER 
2011,854863,HAWTHORNE AT JOLIET - OTB,OCTOBER 
2011,1055528,HAWTHORNE AT MOKENA - OTB,OCTOBER 
2011,165544,HAWTHORNE AT YORKVILLE - OTB,OCTOBER 
2011,4906201,"HAWTHORNE RACE COURSE, INC.",OCTOBER 
2011,874419,"HAWTHORNE RACE COURSE, INC. - IT.",OCTOBER 
2011,553508,MAYWOOD AT ELK GROVE VILLAGE - OTB,OCTOBER 
2011,2084318,MAYWOOD AT NILES - OTB,OCTOBER 
2011,485587,MAYWOOD AT NORTH AURORA - OTB,OCTOBER 
2011,1947987,MAYWOOD AT OAKBROOK - OTB,OCTOBER 
2011,2510968,MAYWOOD PARK TROTTING ASSOCIATION -IT.,OCTOBER 
2011,676923,"MAYWOOD PARK TROTTING ASSOCIATION, INC.",OCTOBER 
2011,432155,QUAD CITY AT LOCKPORT - OTB,OCTOBER 
2011,856006,QUAD CITY AT MCHENRY - OTB,OCTOBER 
2011,707662,QUAD CITY AT ROCKFORD - OTB,OCTOBER 
2011,385622,QUAD CITY AT SOUTH BELOIT - OTB,OCTOBER 
2011,654162,QUAD CITY AT SOUTH ELGIN - OTB,OCTOBER 
2011,550538,"QUAD CITY DOWNS, INC. - IT.",OCTOBER 
2011,1668673,YOUBET ADW,OCTOBER 
2011,3544857,TWIN SPIRES ADW,OCTOBER 
2011,2705548,TVG ADW,OCTOBER 
2011,81075,BETZOTIC ADW,OCTOBER 
2011,837334,XPRESSBET ADW,OCTOBER 
2011,3256944,"ARLINGTON AT CHICAGO, WEED STREET -OTB",NOVEMBER 
2011,1431402,ARLINGTON AT HODGKINS - OTB,NOVEMBER 
2011,939181,ARLINGTON AT VILLA PARK,NOVEMBER 
2011,1834470,ARLINGTON AT WAUKEGAN - OTB,NOVEMBER 
